epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.66956,1.11207,0.82759,1,0.46403,0.000361917,0.000361917,0.000361917
2,14.1841,0.38961,0.93678,1,0.1722,0.000725001,0.000725001,0.000725001
3,18.4133,0.31842,0.93678,1,0.15637,0.00108075,0.00108075,0.00108075
4,22.6003,0.2546,0.94828,1,0.13678,0.001078,0.001078,0.001078
5,26.7183,0.1885,0.97701,1,0.12122,0.001067,0.001067,0.001067
6,30.8042,0.22529,0.95402,1,0.17462,0.00105601,0.00105601,0.00105601
7,34.7958,0.23505,0.94253,1,0.19171,0.00104501,0.00104501,0.00104501
8,38.8708,0.20472,0.93678,1,0.24053,0.00103401,0.00103401,0.00103401
9,42.7898,0.2389,0.96552,1,0.12449,0.00102301,0.00102301,0.00102301
10,46.7653,0.14228,0.95402,1,0.12273,0.00101201,0.00101201,0.00101201
11,50.7485,0.18668,0.94828,1,0.15698,0.00100101,0.00100101,0.00100101
12,54.8726,0.14442,0.97126,1,0.05344,0.000990012,0.000990012,0.000990012
13,58.8859,0.12025,0.95977,1,0.09099,0.000979013,0.000979013,0.000979013
14,62.9215,0.11173,0.96552,1,0.1227,0.000968014,0.000968014,0.000968014
15,67.0909,0.08632,0.95977,1,0.08813,0.000957015,0.000957015,0.000957015
16,71.2151,0.12225,0.97126,1,0.13011,0.000946016,0.000946016,0.000946016
17,75.6039,0.15357,0.95402,1,0.12651,0.000935018,0.000935018,0.000935018
18,79.6717,0.12603,0.94828,1,0.16105,0.000924019,0.000924019,0.000924019
19,83.7745,0.08381,0.93678,1,0.12178,0.00091302,0.00091302,0.00091302
20,87.8211,0.08839,0.98851,1,0.10296,0.000902021,0.000902021,0.000902021
21,91.8328,0.09583,0.97701,1,0.05812,0.000891022,0.000891022,0.000891022
22,95.7851,0.07716,0.97701,1,0.12123,0.000880023,0.000880023,0.000880023
23,99.7721,0.07535,0.97701,1,0.06534,0.000869024,0.000869024,0.000869024
24,103.816,0.05964,0.98276,1,0.12131,0.000858025,0.000858025,0.000858025
25,108.031,0.06243,0.98276,1,0.05801,0.000847026,0.000847026,0.000847026
26,112.136,0.08078,0.95977,1,0.12673,0.000836027,0.000836027,0.000836027
27,116.243,0.06438,0.97126,1,0.07824,0.000825029,0.000825029,0.000825029
28,120.235,0.05695,0.97126,1,0.09949,0.00081403,0.00081403,0.00081403
29,124.197,0.05919,0.96552,1,0.10103,0.000803031,0.000803031,0.000803031
30,128.173,0.06352,0.96552,1,0.06892,0.000792032,0.000792032,0.000792032
31,132.223,0.06562,0.96552,1,0.10537,0.000781033,0.000781033,0.000781033
32,136.244,0.05304,0.95977,1,0.11129,0.000770034,0.000770034,0.000770034
33,140.214,0.04376,0.95402,1,0.14665,0.000759035,0.000759035,0.000759035
34,144.209,0.07889,0.96552,1,0.08353,0.000748036,0.000748036,0.000748036
35,148.497,0.0704,0.98851,1,0.03558,0.000737037,0.000737037,0.000737037
36,152.566,0.05944,0.97126,1,0.09221,0.000726038,0.000726038,0.000726038
37,156.605,0.05199,0.97126,1,0.04885,0.00071504,0.00071504,0.00071504
38,160.907,0.0514,0.97126,1,0.09926,0.000704041,0.000704041,0.000704041
39,165.105,0.03863,0.97701,1,0.08579,0.000693042,0.000693042,0.000693042
40,169.178,0.05625,0.98276,1,0.03925,0.000682043,0.000682043,0.000682043
41,173.208,0.03484,0.97701,1,0.11038,0.000671044,0.000671044,0.000671044
42,177.176,0.03542,0.97701,1,0.12514,0.000660045,0.000660045,0.000660045
43,181.262,0.02507,0.97701,1,0.05986,0.000649046,0.000649046,0.000649046
44,185.188,0.05954,0.95977,1,0.09224,0.000638047,0.000638047,0.000638047
45,189.165,0.02039,0.95402,1,0.10861,0.000627048,0.000627048,0.000627048
