epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.65158,1.11141,0.85632,1,0.41777,0.000361917,0.000361917,0.000361917
2,16.8749,0.39757,0.8908,1,0.29327,0.000725001,0.000725001,0.000725001
3,21.3554,0.28016,0.93103,1,0.21798,0.00108075,0.00108075,0.00108075
4,25.6992,0.26626,0.93103,1,0.20925,0.001078,0.001078,0.001078
5,30.0296,0.22488,0.95402,1,0.10468,0.001067,0.001067,0.001067
6,34.3423,0.23436,0.94828,1,0.11886,0.00105601,0.00105601,0.00105601
7,38.5307,0.18779,0.91379,1,0.2033,0.00104501,0.00104501,0.00104501
8,42.619,0.19251,0.94253,1,0.24223,0.00103401,0.00103401,0.00103401
9,46.6673,0.1835,0.95402,1,0.11234,0.00102301,0.00102301,0.00102301
10,50.8295,0.14304,0.93103,1,0.321,0.00101201,0.00101201,0.00101201
11,55.0731,0.15109,0.94828,1,0.18442,0.00100101,0.00100101,0.00100101
12,59.1396,0.15295,0.96552,1,0.12382,0.000990012,0.000990012,0.000990012
13,63.9047,0.16576,0.98851,1,0.04024,0.000979013,0.000979013,0.000979013
14,68.2165,0.12069,0.98276,1,0.03491,0.000968014,0.000968014,0.000968014
15,72.345,0.10653,0.93103,1,0.23607,0.000957015,0.000957015,0.000957015
16,76.4018,0.09807,0.97126,1,0.04389,0.000946016,0.000946016,0.000946016
17,80.4544,0.0931,0.96552,1,0.08941,0.000935018,0.000935018,0.000935018
18,84.6036,0.10209,0.95977,1,0.08916,0.000924019,0.000924019,0.000924019
19,88.6,0.09904,0.96552,1,0.11604,0.00091302,0.00091302,0.00091302
20,92.6834,0.06831,0.97701,1,0.13856,0.000902021,0.000902021,0.000902021
21,96.7708,0.12792,0.97701,1,0.05319,0.000891022,0.000891022,0.000891022
22,100.925,0.08984,0.98276,1,0.11114,0.000880023,0.000880023,0.000880023
23,104.967,0.06183,0.97126,1,0.06109,0.000869024,0.000869024,0.000869024
24,109.077,0.08791,0.95977,1,0.19323,0.000858025,0.000858025,0.000858025
25,113.163,0.08044,0.97701,1,0.07456,0.000847026,0.000847026,0.000847026
26,117.343,0.0583,0.98851,1,0.02692,0.000836027,0.000836027,0.000836027
27,121.35,0.07469,0.97701,1,0.07022,0.000825029,0.000825029,0.000825029
28,125.374,0.06012,0.96552,1,0.12573,0.00081403,0.00081403,0.00081403
