epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.487,1.03675,0.85,1,0.44501,0.000367881,0.000367881,0.000367881
2,22.3069,0.49376,0.90667,1,0.31003,0.000730906,0.000730906,0.000730906
3,32.0828,0.41966,0.92,1,0.23953,0.0010866,0.0010866,0.0010866
4,41.6515,0.36501,0.93667,1,0.17353,0.001078,0.001078,0.001078
5,51.2119,0.33402,0.93,1,0.2432,0.001067,0.001067,0.001067
6,60.6771,0.31499,0.93,1,0.17666,0.00105601,0.00105601,0.00105601
7,70.221,0.25415,0.96667,1,0.13749,0.00104501,0.00104501,0.00104501
8,79.9161,0.22285,0.98,1,0.0827,0.00103401,0.00103401,0.00103401
9,89.3989,0.22787,0.96667,1,0.13697,0.00102301,0.00102301,0.00102301
10,99.2271,0.17241,0.96667,1,0.14082,0.00101201,0.00101201,0.00101201
11,109.053,0.1749,0.95333,1,0.10489,0.00100101,0.00100101,0.00100101
12,118.766,0.1855,0.96667,1,0.1611,0.000990012,0.000990012,0.000990012
13,128.452,0.15027,0.96667,1,0.09597,0.000979013,0.000979013,0.000979013
