epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8741,1.04369,0.83,1,0.46189,0.000367881,0.000367881,0.000367881
2,21.5251,0.52481,0.89333,1,0.28184,0.000730906,0.000730906,0.000730906
3,31.1775,0.37498,0.93667,1,0.19957,0.0010866,0.0010866,0.0010866
4,40.7002,0.33856,0.87667,1,0.39102,0.001078,0.001078,0.001078
5,50.3051,0.32915,0.96667,1,0.10901,0.001067,0.001067,0.001067
6,59.8648,0.29381,0.93333,1,0.24899,0.00105601,0.00105601,0.00105601
7,69.6373,0.2681,0.96667,1,0.09521,0.00104501,0.00104501,0.00104501
8,78.9987,0.22334,0.98,1,0.07657,0.00103401,0.00103401,0.00103401
9,88.5807,0.24574,0.96,1,0.12364,0.00102301,0.00102301,0.00102301
10,98.1605,0.16882,0.97333,1,0.05987,0.00101201,0.00101201,0.00101201
11,107.557,0.17391,0.97667,1,0.05535,0.00100101,0.00100101,0.00100101
12,117.195,0.17997,0.98333,1,0.06378,0.000990012,0.000990012,0.000990012
13,126.622,0.15957,0.98,1,0.07825,0.000979013,0.000979013,0.000979013
14,136.11,0.17018,0.97333,1,0.06028,0.000968014,0.000968014,0.000968014
15,145.866,0.16132,0.98,1,0.03879,0.000957015,0.000957015,0.000957015
16,155.775,0.13207,0.99,1,0.0358,0.000946016,0.000946016,0.000946016
17,165.549,0.1549,0.99667,1,0.02021,0.000935018,0.000935018,0.000935018
18,175.011,0.13362,0.99333,1,0.0246,0.000924019,0.000924019,0.000924019
19,184.656,0.11526,0.98667,1,0.03351,0.00091302,0.00091302,0.00091302
20,194.393,0.13999,0.99667,1,0.01963,0.000902021,0.000902021,0.000902021
21,204.02,0.10504,0.99333,1,0.02616,0.000891022,0.000891022,0.000891022
22,213.807,0.10856,0.98333,1,0.028,0.000880023,0.000880023,0.000880023
