epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.9971,1.06161,0.80723,1,0.54823,0.000365871,0.000365871,0.000365871
2,18.3716,0.4576,0.87048,1,0.30346,0.000728916,0.000728916,0.000728916
3,25.7708,0.37925,0.88855,1,0.28702,0.00108463,0.00108463,0.00108463
4,32.9659,0.34081,0.92169,1,0.26621,0.001078,0.001078,0.001078
5,39.992,0.31854,0.91265,1,0.17326,0.001067,0.001067,0.001067
6,47.1928,0.22955,0.90663,1,0.23704,0.00105601,0.00105601,0.00105601
7,54.2493,0.24402,0.96687,1,0.10812,0.00104501,0.00104501,0.00104501
8,61.5229,0.23033,0.91566,1,0.17852,0.00103401,0.00103401,0.00103401
9,68.4916,0.21068,0.91265,1,0.27729,0.00102301,0.00102301,0.00102301
10,75.6665,0.24312,0.95482,1,0.12095,0.00101201,0.00101201,0.00101201
11,82.7003,0.14732,0.99096,1,0.05385,0.00100101,0.00100101,0.00100101
12,89.816,0.11951,0.96386,1,0.14285,0.000990012,0.000990012,0.000990012
13,96.9305,0.15294,0.96687,1,0.07519,0.000979013,0.000979013,0.000979013
14,104.318,0.1373,0.97892,1,0.03966,0.000968014,0.000968014,0.000968014
15,111.957,0.10433,0.96988,1,0.13938,0.000957015,0.000957015,0.000957015
16,119.363,0.09101,0.97289,1,0.07812,0.000946016,0.000946016,0.000946016
17,126.884,0.12417,0.9759,1,0.06532,0.000935018,0.000935018,0.000935018
18,134.183,0.10592,0.96687,1,0.08009,0.000924019,0.000924019,0.000924019
19,141.641,0.089,0.98193,1,0.04688,0.00091302,0.00091302,0.00091302
20,148.768,0.08036,0.98494,1,0.04513,0.000902021,0.000902021,0.000902021
21,155.963,0.0646,0.99096,1,0.04017,0.000891022,0.000891022,0.000891022
22,163.615,0.10008,0.95783,1,0.10013,0.000880023,0.000880023,0.000880023
23,171.984,0.07396,0.98494,1,0.03629,0.000869024,0.000869024,0.000869024
24,180.772,0.06958,0.98795,1,0.04652,0.000858025,0.000858025,0.000858025
25,189.015,0.06954,0.98193,1,0.04065,0.000847026,0.000847026,0.000847026
26,197.363,0.05911,0.97892,1,0.08639,0.000836027,0.000836027,0.000836027
27,205.379,0.04905,0.98494,1,0.07194,0.000825029,0.000825029,0.000825029
28,212.964,0.0519,0.97289,1,0.0741,0.00081403,0.00081403,0.00081403
29,220.754,0.06136,0.98193,1,0.04134,0.000803031,0.000803031,0.000803031
30,228.105,0.05125,0.99096,1,0.03095,0.000792032,0.000792032,0.000792032
31,235.636,0.05625,0.99398,1,0.02542,0.000781033,0.000781033,0.000781033
32,243.027,0.04059,0.98494,1,0.03486,0.000770034,0.000770034,0.000770034
33,250.57,0.04157,0.99096,1,0.023,0.000759035,0.000759035,0.000759035
34,258.373,0.05832,0.99699,1,0.02361,0.000748036,0.000748036,0.000748036
35,266.152,0.05623,0.99398,1,0.01821,0.000737037,0.000737037,0.000737037
36,273.987,0.04125,0.99398,1,0.02277,0.000726038,0.000726038,0.000726038
37,281.609,0.05837,0.98795,1,0.03285,0.00071504,0.00071504,0.00071504
38,289.124,0.03828,0.98193,1,0.04413,0.000704041,0.000704041,0.000704041
39,296.547,0.05446,0.99699,1,0.01349,0.000693042,0.000693042,0.000693042
40,304.054,0.02683,0.99398,1,0.02051,0.000682043,0.000682043,0.000682043
41,311.419,0.0202,0.99398,1,0.01009,0.000671044,0.000671044,0.000671044
42,318.96,0.0276,0.99398,1,0.02243,0.000660045,0.000660045,0.000660045
43,326.749,0.02363,0.99699,1,0.02098,0.000649046,0.000649046,0.000649046
44,334.697,0.02793,0.99699,1,0.00763,0.000638047,0.000638047,0.000638047
45,342.343,0.02517,0.99398,1,0.03282,0.000627048,0.000627048,0.000627048
46,350.062,0.02734,0.98795,1,0.03399,0.000616049,0.000616049,0.000616049
47,357.704,0.02108,0.99398,1,0.02539,0.000605051,0.000605051,0.000605051
48,365.931,0.03603,0.98795,1,0.0358,0.000594052,0.000594052,0.000594052
49,373.583,0.01934,0.99398,1,0.01044,0.000583053,0.000583053,0.000583053
50,381.366,0.02063,0.99699,1,0.0175,0.000572054,0.000572054,0.000572054
51,388.707,0.01689,0.99398,1,0.00923,0.000561055,0.000561055,0.000561055
52,396.22,0.01581,0.99398,1,0.02389,0.000550056,0.000550056,0.000550056
53,403.603,0.00777,0.99398,1,0.01265,0.000539057,0.000539057,0.000539057
54,411.108,0.01189,0.99398,1,0.01572,0.000528058,0.000528058,0.000528058
1,10.6155,1.06161,0.80723,1,0.54823,0.000365871,0.000365871,0.000365871
2,18.8505,0.4576,0.87048,1,0.30346,0.000728916,0.000728916,0.000728916
3,27.3371,0.37925,0.88855,1,0.28702,0.00108463,0.00108463,0.00108463
4,35.5039,0.34081,0.92169,1,0.26621,0.001078,0.001078,0.001078
5,43.4927,0.31854,0.91265,1,0.17326,0.001067,0.001067,0.001067
6,51.4941,0.22955,0.90663,1,0.23704,0.00105601,0.00105601,0.00105601
7,60.3435,0.24402,0.96687,1,0.10812,0.00104501,0.00104501,0.00104501
8,68.2636,0.23033,0.91566,1,0.17852,0.00103401,0.00103401,0.00103401
9,76.4922,0.21068,0.91265,1,0.27729,0.00102301,0.00102301,0.00102301
10,84.4791,0.24312,0.95482,1,0.12095,0.00101201,0.00101201,0.00101201
11,92.1434,0.14732,0.99096,1,0.05385,0.00100101,0.00100101,0.00100101
12,99.6196,0.11951,0.96386,1,0.14285,0.000990012,0.000990012,0.000990012
13,106.916,0.15294,0.96687,1,0.07519,0.000979013,0.000979013,0.000979013
14,114.099,0.1373,0.97892,1,0.03966,0.000968014,0.000968014,0.000968014
15,121.469,0.10433,0.96988,1,0.13938,0.000957015,0.000957015,0.000957015
16,128.523,0.09101,0.97289,1,0.07812,0.000946016,0.000946016,0.000946016
17,135.748,0.12417,0.9759,1,0.06532,0.000935018,0.000935018,0.000935018
18,142.811,0.10592,0.96687,1,0.08009,0.000924019,0.000924019,0.000924019
19,150.187,0.089,0.98193,1,0.04688,0.00091302,0.00091302,0.00091302
20,157.283,0.08036,0.98494,1,0.04513,0.000902021,0.000902021,0.000902021
21,164.671,0.0646,0.99096,1,0.04017,0.000891022,0.000891022,0.000891022
22,171.847,0.10008,0.95783,1,0.10013,0.000880023,0.000880023,0.000880023
23,179.856,0.07396,0.98494,1,0.03629,0.000869024,0.000869024,0.000869024
24,187.774,0.06958,0.98795,1,0.04652,0.000858025,0.000858025,0.000858025
25,195.355,0.06954,0.98193,1,0.04065,0.000847026,0.000847026,0.000847026
26,203.39,0.05911,0.97892,1,0.08639,0.000836027,0.000836027,0.000836027
27,211.062,0.04905,0.98494,1,0.07194,0.000825029,0.000825029,0.000825029
28,218.556,0.0519,0.97289,1,0.0741,0.00081403,0.00081403,0.00081403
29,226.033,0.06136,0.98193,1,0.04134,0.000803031,0.000803031,0.000803031
