epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.80043,1.01655,0.7037,1,0.80518,0.000463102,0.000463102,0.000463102
2,13.8931,0.78866,0.85185,1,0.51025,0.000930135,0.000930135,0.000930135
3,17.4422,0.72351,0.81481,1,0.38867,0.00138774,0.00138774,0.00138774
4,20.9591,0.76574,0.74074,1,2.02734,0.00138656,0.00138656,0.00138656
5,24.2896,0.81646,0.74074,1,1.00391,0.00137241,0.00137241,0.00137241
6,27.6743,0.77367,0.74074,1,0.62939,0.00135826,0.00135826,0.00135826
7,30.9524,0.69463,0.62963,1,1.40039,0.00134412,0.00134412,0.00134412
8,34.201,0.66409,0.74074,1,0.57471,0.00132997,0.00132997,0.00132997
9,37.6427,0.6374,0.77778,1,0.83203,0.00131582,0.00131582,0.00131582
10,40.8843,0.64174,0.62963,1,0.89746,0.00130168,0.00130168,0.00130168
11,44.0602,0.65715,0.7037,1,0.85254,0.00128753,0.00128753,0.00128753
12,47.248,0.58107,0.74074,1,0.54541,0.00127338,0.00127338,0.00127338
13,50.4112,0.47624,0.77778,1,0.51807,0.00125923,0.00125923,0.00125923
14,53.6496,0.52374,0.74074,1,0.87305,0.00124509,0.00124509,0.00124509
15,56.8425,0.49527,0.85185,1,0.57471,0.00123094,0.00123094,0.00123094
16,60.0968,0.5276,0.74074,1,0.66162,0.00121679,0.00121679,0.00121679
17,63.1764,0.4353,0.85185,1,0.83984,0.00120265,0.00120265,0.00120265
18,66.6325,0.38436,0.74074,1,0.62842,0.0011885,0.0011885,0.0011885
19,70.1129,0.3936,0.77778,1,0.70703,0.00117435,0.00117435,0.00117435
20,73.3915,0.39362,0.77778,1,0.8667,0.00116021,0.00116021,0.00116021
21,76.6283,0.40038,0.85185,1,0.39844,0.00114606,0.00114606,0.00114606
22,79.8307,0.38861,0.77778,1,0.69287,0.00113191,0.00113191,0.00113191
23,83.0744,0.32112,0.62963,1,1.23633,0.00111776,0.00111776,0.00111776
24,86.2788,0.3245,0.81481,1,0.57129,0.00110362,0.00110362,0.00110362
25,89.4002,0.33985,0.81481,1,1.13086,0.00108947,0.00108947,0.00108947
26,92.579,0.30666,0.77778,1,0.75,0.00107532,0.00107532,0.00107532
27,95.8881,0.29785,0.77778,1,0.75195,0.00106118,0.00106118,0.00106118
28,99.4818,0.3549,0.85185,1,0.71826,0.00104703,0.00104703,0.00104703
29,102.871,0.28936,0.74074,1,1.22559,0.00103288,0.00103288,0.00103288
30,106.321,0.25643,0.7037,1,1.10938,0.00101873,0.00101873,0.00101873
31,109.652,0.30458,0.7037,1,0.91846,0.00100459,0.00100459,0.00100459
32,113.024,0.29457,0.77778,1,0.79932,0.00099044,0.00099044,0.00099044
33,116.379,0.31334,0.74074,1,1.06543,0.000976293,0.000976293,0.000976293
34,119.64,0.27074,0.81481,1,0.72998,0.000962146,0.000962146,0.000962146
35,122.964,0.25547,0.77778,1,0.53809,0.000947999,0.000947999,0.000947999
36,126.183,0.24073,0.77778,1,0.79541,0.000933851,0.000933851,0.000933851
37,129.5,0.25627,0.7037,1,0.94531,0.000919704,0.000919704,0.000919704
38,133.066,0.2277,0.77778,1,0.9458,0.000905557,0.000905557,0.000905557
39,136.266,0.20841,0.81481,1,0.96289,0.00089141,0.00089141,0.00089141
40,139.612,0.24709,0.74074,1,1.0791,0.000877263,0.000877263,0.000877263
41,143.112,0.22798,0.7037,1,1.05078,0.000863116,0.000863116,0.000863116
