epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7493,1.89473,4.08344,2.11042,0.83055,0.05083,0.07926,0.02962,2.07736,3.26854,2.17875,0.000329966,0.000329966,0.000329966
2,32.4798,1.87586,3.68295,2.09497,0.37384,0.26758,0.13721,0.05077,2.19114,3.84245,2.63645,0.000650166,0.000650166,0.000650166
3,47.084,1.89224,3.50352,2.13135,0.26054,0.13818,0.07152,0.0256,2.24565,3.17389,2.41754,0.000957166,0.000957166,0.000957166
4,61.5152,1.8723,3.42719,2.13186,0.52691,0.22008,0.16383,0.06496,2.15244,3.71255,2.49752,0.0009406,0.0009406,0.0009406
5,75.9504,1.81871,3.2879,2.11485,0.83892,0.11742,0.16588,0.07803,1.99459,3.1114,2.38748,0.0009208,0.0009208,0.0009208
6,90.5116,1.78807,3.19027,2.06558,0.44464,0.20688,0.18319,0.10315,1.84068,2.66684,2.14955,0.000901,0.000901,0.000901
7,105.254,1.73704,3.07136,2.02077,0.57617,0.22694,0.2511,0.12166,1.85813,2.49205,2.2133,0.0008812,0.0008812,0.0008812
8,119.314,1.74542,3.07682,2.04132,0.5925,0.18337,0.22009,0.09489,1.89823,2.85528,2.24237,0.0008614,0.0008614,0.0008614
9,133.562,1.72309,2.96239,2.00242,0.61276,0.18853,0.21498,0.10791,1.76451,2.6548,2.11857,0.0008416,0.0008416,0.0008416
10,148.023,1.72198,2.93937,2.00797,0.64773,0.30066,0.27247,0.11837,1.93597,2.50958,2.27577,0.0008218,0.0008218,0.0008218
11,162.682,1.6809,2.80164,1.99718,0.25281,0.27889,0.25647,0.12284,1.84402,2.53167,2.19114,0.000802,0.000802,0.000802
12,177.057,1.67105,2.77273,1.96474,0.56251,0.26181,0.26899,0.1325,1.8711,2.30675,2.1121,0.0007822,0.0007822,0.0007822
13,191.25,1.64616,2.70639,1.94015,0.30998,0.35506,0.28189,0.13731,1.84395,2.41817,2.1076,0.0007624,0.0007624,0.0007624
14,205.453,1.63109,2.67506,1.93166,0.24521,0.36763,0.24139,0.13088,1.89237,2.39645,2.19604,0.0007426,0.0007426,0.0007426
